=== Testing mode: linear ===

Instance 1:
Nodes: 10, Edges: 40, Exec Time: 0.2476 sec,  PoA: 1.009, Equilibrium Iterations: 7, Social Optimality Iterations: 14
Nodes: 20, Edges: 80, Exec Time: 0.5602 sec,  PoA: 1.005, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 30, Edges: 120, Exec Time: 1.0571 sec,  PoA: 1.005, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 40, Edges: 160, Exec Time: 1.7897 sec,  PoA: 1.009, Equilibrium Iterations: 7, Social Optimality Iterations: 11
Nodes: 50, Edges: 200, Exec Time: 3.0394 sec,  PoA: 1.015, Equilibrium Iterations: 8, Social Optimality Iterations: 12
Nodes: 60, Edges: 240, Exec Time: 4.2948 sec,  PoA: 1.005, Equilibrium Iterations: 8, Social Optimality Iterations: 10
Nodes: 70, Edges: 280, Exec Time: 6.4995 sec,  PoA: 1.006, Equilibrium Iterations: 8, Social Optimality Iterations: 12
Nodes: 80, Edges: 320, Exec Time: 9.5696 sec,  PoA: 1.011, Equilibrium Iterations: 8, Social Optimality Iterations: 13
Nodes: 90, Edges: 360, Exec Time: 13.7065 sec,  PoA: 1.012, Equilibrium Iterations: 8, Social Optimality Iterations: 15
Nodes: 100, Edges: 400, Exec Time: 15.4818 sec,  PoA: 1.006, Equilibrium Iterations: 8, Social Optimality Iterations: 11

Instance 2:
Nodes: 10, Edges: 40, Exec Time: 0.1699 sec,  PoA: 1.01, Equilibrium Iterations: 7, Social Optimality Iterations: 7
Nodes: 20, Edges: 80, Exec Time: 0.4763 sec,  PoA: 1.008, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 30, Edges: 120, Exec Time: 0.9841 sec,  PoA: 1.003, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 40, Edges: 160, Exec Time: 1.6382 sec,  PoA: 1.006, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 50, Edges: 200, Exec Time: 2.9126 sec,  PoA: 1.006, Equilibrium Iterations: 8, Social Optimality Iterations: 10
Nodes: 60, Edges: 240, Exec Time: 4.8445 sec,  PoA: 1.008, Equilibrium Iterations: 8, Social Optimality Iterations: 13
Nodes: 70, Edges: 280, Exec Time: 5.5658 sec,  PoA: 1.011, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 80, Edges: 320, Exec Time: 11.4789 sec,  PoA: 1.002, Equilibrium Iterations: 8, Social Optimality Iterations: 18
Nodes: 90, Edges: 360, Exec Time: 9.8770 sec,  PoA: 1.008, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 100, Edges: 400, Exec Time: 15.3026 sec,  PoA: 1.008, Equilibrium Iterations: 8, Social Optimality Iterations: 11

Instance 3:
Nodes: 10, Edges: 40, Exec Time: 0.1452 sec,  PoA: -1, Equilibrium Iterations: None, Social Optimality Iterations: None
Nodes: 20, Edges: 80, Exec Time: 0.4884 sec,  PoA: 1.007, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 30, Edges: 120, Exec Time: 1.0614 sec,  PoA: 1.005, Equilibrium Iterations: 8, Social Optimality Iterations: 10
Nodes: 40, Edges: 160, Exec Time: 1.6515 sec,  PoA: 1.008, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 50, Edges: 200, Exec Time: 2.5721 sec,  PoA: 1.01, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 60, Edges: 240, Exec Time: 4.5442 sec,  PoA: 1.015, Equilibrium Iterations: 8, Social Optimality Iterations: 12
Nodes: 70, Edges: 280, Exec Time: 5.6829 sec,  PoA: 1.012, Equilibrium Iterations: 8, Social Optimality Iterations: 9
Nodes: 80, Edges: 320, Exec Time: 9.5677 sec,  PoA: 1.019, Equilibrium Iterations: 8, Social Optimality Iterations: 13
Nodes: 90, Edges: 360, Exec Time: 9.9415 sec,  PoA: 1.004, Equilibrium Iterations: 8, Social Optimality Iterations: 8
Nodes: 100, Edges: 400, Exec Time: 14.4452 sec,  PoA: 1.009, Equilibrium Iterations: 8, Social Optimality Iterations: 10

Instance 4:
Nodes: 10, Edges: 40, Exec Time: 0.1843 sec,  PoA: 1.007, Equilibrium Iterations: 6, Social Optimality Iterations: 12
Nodes: 20, Edges: 80, Exec Time: 0.2633 sec,  PoA: -1, Equilibrium Iterations: None, Social Optimality Iterations: None
Nodes: 30, Edges: 120, Exec Time: 0.9014 sec,  PoA: 1.008, Equilibrium Iterations: 7, Social Optimality Iterations: 7
Nodes: 40, Edges: 160, Exec Time: 1.8289 sec,  PoA: 1.007, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 50, Edges: 200, Exec Time: 3.1651 sec,  PoA: 1.008, Equilibrium Iterations: 8, Social Optimality Iterations: 13
Nodes: 60, Edges: 240, Exec Time: 4.3259 sec,  PoA: 1.008, Equilibrium Iterations: 8, Social Optimality Iterations: 11
Nodes: 70, Edges: 280, Exec Time: 6.0069 sec,  PoA: 1.007, Equilibrium Iterations: 7, Social Optimality Iterations: 11
Nodes: 80, Edges: 320, Exec Time: 1.8057 sec,  PoA: -1, Equilibrium Iterations: None, Social Optimality Iterations: None
